OBJECTID_12,OBJECTID_1,OBJECTID,GIS_STREET,ON_STREET,FROM_STREE,TO_STREET,ST_CODE,SEG_ID,ONEWAY,CLASS,RESPONSIBL,L_HUNDRED,R_HUNDRED,BLOCKNUMBE,PRIMARYROA
61,,8241,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720418,B,3,STATE,6500,,89.23,Granite Block
62,,8242,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720428,B,3,STATE,0,,89.24,Granite Block
63,,8243,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720383,B,3,STATE,6500,,89.22,Granite Block
64,,8244,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720384,B,3,STATE,6400,,89.21,Granite Block
65,,8246,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720382,B,3,STATE,6500,,89.25,Granite Block
66,,8271,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720365,B,3,STATE,6600,,89.28,Granite Block
67,,8272,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720364,B,3,STATE,6500,,89.27,Granite Block
68,,8273,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720381,B,3,STATE,6500,,89.26,Granite Block
69,,8492,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,820537,B,3,STATE,7400,,90.02,Granite Block
70,,8547,,W DUVAL ST,GREENE ST,SHERMAN ST,29740,720434,B,5, ,300,,67,Orange Brick
71,,8551,,SHERMAN ST,W WASHINGTON LA,W JOHNSON ST,72580,720435,B,5, ,6300,,180.02,Orange Brick
72,,8553,,MOYLAN ST,W WASHINGTON LA,W POMONA ST,57380,720439,B,5, ,6300,,133,Red Brick
73,,8560,,SHERMAN ST,W WASHINGTON LA,W JOHNSON ST,72580,720442,B,5, ,6300,,180.01,Orange Brick
74,,8726,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720359,B,3,STATE,6600,,89.29,Granite Block
75,,8737,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720357,B,3,STATE,6600,,89.3,Granite Block
76,,8738,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720356,B,3,STATE,6600,,89.31,Granite Block
77,,8739,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720354,B,3,STATE,6600,,89.32,Granite Block
78,,8741,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720350,B,3,STATE,6700,,89.33,Granite Block
79,,8743,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720147,B,3,STATE,6900,,89.37,Granite Block
80,,8745,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720332,B,3,STATE,6700,,89.36,Granite Block
81,,8804,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720145,B,3,STATE,6900,,89.38,Granite Block
82,,8806,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720142,B,3,STATE,7000,,89.39,Granite Block
83,,8814,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720132,B,3,STATE,7200,,89.44,Granite Block
84,,8815,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720133,B,3,STATE,7200,,89.43,Granite Block
85,,8816,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720135,B,3,STATE,7100,,89.42,Granite Block
86,,8818,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720136,B,3,STATE,7100,,89.41,Granite Block
87,,8819,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720137,B,3,STATE,7100,,89.4,Granite Block
88,,8835,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720131,B,3,STATE,7200,,89.45,Granite Block
89,,8837,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,720160,B,3,STATE,7300,,90.01,Granite Block
90,,8849,,WINSTON RD,GERMANTOWN AVE,MERMAID LA,83880,820535,B,4, ,7600,,208,Granite Block
91,,8850,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,820704,B,3,STATE,7600,,90.06,Granite Block
92,,8853,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,820536,B,3,STATE,7600,,90.05,Granite Block
93,,8854,,E MERMAID LN,GERMANTOWN AVE,WINSTON RD,55660,820516,B,4, ,0,,129.01,Granite Block
94,,8856,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,820703,B,3,STATE,7700,,90.07,Granite Block
95,,8863,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,820019,B,3,STATE,7600,,90.04,Granite Block
96,,8953,,MEADOWBROOK AVE,STROUD ST,ERDENHEIM ST,55060,800066,B,5, ,9400,,127.01,Granite Block
97,,8958,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,800188,B,3,STATE,7900,,90.11,Granite Block
98,,9034,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,800112,B,2,FAM,8600,,90.21,Granite Block
99,,9046,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,800138,B,3,STATE,8300,,90.17,Granite Block
100,,9049,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,800140,B,3,STATE,8200,,90.16,Granite Block
101,,9050,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,800150,B,3,STATE,8200,,90.15,Granite Block
102,,9052,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,820698,B,3,STATE,7900,,90.1,Granite Block
103,,9053,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,820037,B,3,STATE,7800,,90.08,Granite Block
104,,9058,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,800164,B,3,STATE,8100,,90.14,Granite Block
105,,9073,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,800171,B,3,STATE,8000,,90.13,Granite Block
106,,9074,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,800182,B,3,STATE,8000,,90.12,Granite Block
107,,9464,,MEADOWBROOK AVE,STROUD ST,ERDENHEIM ST,55060,800064,B,5, ,9500,,127.02,Granite Block
108,,9522,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720531,B,3,STATE,5900,,89.09,Granite Block
109,,9523,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720520,B,3,STATE,5900,,89.08,Granite Block
110,,9534,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,822025,B,3,STATE,0,,90.09,Granite Block
111,,9579,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720337,B,3,STATE,6700,,89.35,Granite Block
112,,9580,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720344,B,3,STATE,6700,,89.34,Granite Block
113,,9648,,S 49TH ST,BALTIMORE AVE,CHESTER AVE,88770,320200,B,3,FAM,700,,220.09,Red Brick
114,,9649,,S 49TH ST,BALTIMORE AVE,CHESTER AVE,88770,320201,B,3,FAM,700,,220.08,Red Brick
115,,9655,,S 49TH ST,BALTIMORE AVE,CHESTER AVE,88770,320202,B,3,FAM,800,,220.07,Red Brick
116,,9659,,S 49TH ST,BALTIMORE AVE,CHESTER AVE,88770,320203,B,3,FAM,800,,220.06,Red Brick
117,,9662,,S 49TH ST,BALTIMORE AVE,CHESTER AVE,88770,320204,B,3,FAM,900,,220.05,Red Brick
118,,9838,,S 49TH ST,BALTIMORE AVE,CHESTER AVE,88770,320205,B,3,FAM,900,,220.04,Red Brick
119,,9843,,S 49TH ST,BALTIMORE AVE,CHESTER AVE,88770,320237,B,3,FAM,1000,,220.03,Red Brick
120,,9847,,S 49TH ST,BALTIMORE AVE,CHESTER AVE,88770,320238,B,3,FAM,1000,,220.02,Red Brick
121,,12025,,E STERNER ST,B ST,E GURNEY ST,74700,540936,B,5, ,300,,192,Red Brick
122,,12026,,E GURNEY ST,B ST,E LEHIGH AVE,39100,540935,FT,4, ,300,,91.01,Red Brick
123,,12048,,E GURNEY ST,B ST,E LEHIGH AVE,39100,540995,FT,4, ,300,,91.02,Red Brick
124,,12837,,W ERIE AVE,N 05TH ST,N 09TH ST,32000,641356,B,3,STATE,800,,71.01,Granite Block
125,,12839,,W ERIE AVE,N 05TH ST,N 09TH ST,32000,641361,B,3,STATE,800,,71.02,Granite Block
126,,12842,,W ERIE AVE,N 05TH ST,N 09TH ST,32000,641367,B,3,STATE,700,,71.03,Granite Block
127,,12865,,W ERIE AVE,N 05TH ST,N 09TH ST,32000,641378,B,3,STATE,600,,71.05,Granite Block
128,,12866,,W ERIE AVE,N 05TH ST,N 09TH ST,32000,641376,B,3,STATE,700,,71.04,Granite Block
129,,12872,,W ERIE AVE,N 05TH ST,N 09TH ST,32000,641401,B,3,STATE,500,,71.08,Granite Block
130,,12875,,W ERIE AVE,N 05TH ST,N 09TH ST,32000,641391,B,3,STATE,500,,71.07,Granite Block
131,,12876,,W ERIE AVE,N 05TH ST,N 09TH ST,32000,641387,B,3,STATE,600,,71.06,Granite Block
132,,13085,,E ERIE AVE,FRONT ST,B ST,31980,641393,B,3,STATE,100,,69.01,Red Brick
133,,13087,,E ERIE AVE,FRONT ST,B ST,31980,642545,B,3,STATE,100,,69.02,Red Brick
134,,13155,,W ESTAUGH ST,MASCHER ST,PALETHORP ST,32240,641765,B,5, ,100,,73,Red Brick
135,,13376,,PALETHORP ST,W ALLEGHENY AVE,W WESTMORELAND ST,62760,642212,B,5, ,3200,,146,Granite Block
136,,13658,,TRENTON AVE,FRANKFORD AVE,E LEHIGH AVE,77800,541841,B,4, ,2600,,198.12,Granite Block
137,,13659,,TRENTON AVE,FRANKFORD AVE,E LEHIGH AVE,77800,541882,B,4, ,2600,,198.11,Granite Block
138,,13818,,CORAL ST,E AUBURN ST,E WILLIAM ST,25020,541197,B,5, ,2800,,306,Granite Block
139,,14890,,SHUNK ST,S SWANSON ST,S FRONT ST,72740,240094,B,4, ,0,,319,Granite Block
140,,15420,,SIGEL ST,S 11TH ST,DEAD END WEST,72820,341455,B,5, ,1100,,181,Red Brick
141,,15663,,S DARIEN ST,REED ST,CITY BOUNDARY,27380,341046,B,5, ,1400,,307,Orange Brick
142,,15669,,REED ST,S WARNOCK ST,S 12TH ST,67780,341063,B,4, ,1000,,163.02,Granite Block
143,,15674,,REED ST,S WARNOCK ST,S 12TH ST,67780,341064,B,4, ,1000,,163.03,Granite Block
144,,15866,,PANAMA ST,S 12TH ST,S 13TH ST,62880,340143,B,5, ,1200,,147.01,Granite Block
145,,15871,,CYPRESS ST,S 12TH ST,S 13TH ST,26560,340148,B,5, ,1200,,60.01,Red Brick
146,,15873,,CYPRESS ST,S 12TH ST,S 13TH ST,26560,340149,B,5, ,1200,,60.02,Red Brick
147,,15875,,CYPRESS ST,S 12TH ST,S 13TH ST,26560,340151,B,5, ,1200,,60.04,Red Brick
148,,15877,,CYPRESS ST,S 12TH ST,S 13TH ST,26560,340150,B,5, ,1200,,60.03,Red Brick
149,,15878,,PANAMA ST,S 12TH ST,S 13TH ST,62880,341963,B,5, ,1200,,147.03,Granite Block
150,,15880,,PANAMA ST,S 12TH ST,S 13TH ST,62880,340144,B,5, ,1200,,147.02,Granite Block
151,,15908,,PANAMA ST,S 12TH ST,S 13TH ST,62880,340145,B,5, ,1200,,147.04,Granite Block
152,,15925,,BAINBRIDGE ST,S 11TH ST,S 12TH ST,15460,340345,TF,4,FAM,1100,,12.02,Granite Block
153,,15935,,REED ST,S WARNOCK ST,S 12TH ST,88020,341062,B,4, ,1300,,163.01,Granite Block
154,,15947,,BAINBRIDGE ST,S 11TH ST,S 12TH ST,15460,340344,TF,4,FAM,1100,,12.01,Granite Block
155,,15948,,BAINBRIDGE ST,S 11TH ST,S 12TH ST,15460,341979,TF,4,FAM,1100,,12.03,Granite Block
156,,15958,,BAINBRIDGE ST,S 11TH ST,S 12TH ST,15460,340349,TF,4,FAM,1100,,12.04,Granite Block
157,,15971,,S CLIFTON ST,BAINBRIDGE ST,CATHARINE ST,23860,340613,B,5, ,800,,48.01,Granite Block
158,,15973,,S CLIFTON ST,BAINBRIDGE ST,CATHARINE ST,23860,342057,B,5,PRIVATE,700,,48.02,Granite Block
159,,16033,,S PERTH ST,ADDISON ST,LOMBARD ST,64380,340204,B,5, ,400,,153,Yellow Brick
160,,16135,,FULTON ST,S 06TH ST,S 07TH ST,35340,340467,B,5, ,600,,81.01,Red Brick
161,,16155,,CYPRESS ST,S 06TH ST,S 07TH ST,26560,340219,FT,5, ,600,,59,Granite Block
162,,16169,,BRADFORD ALY,S 07TH ST,DEAD END WEST,18670,340306,B,5, ,700,,23.01,Granite Block
163,,16176,,BRADFORD ALY,S 07TH ST,DEAD END WEST,18670,340307,B,5, ,700,,23.02,Granite Block
164,,16202,,S REESE ST,CYPRESS ST,DELANCEY ST,67840,340220,B,5, ,300,,164,Red Brick
165,,16203,,CYPRESS ST,S 05TH ST,S 06TH ST,26560,340223,FT,5, ,500,,58.02,Granite Block
166,,16204,,CYPRESS ST,S 05TH ST,S 06TH ST,26560,340222,FT,5, ,500,,58.01,Granite Block
167,,16219,,S FAIRHILL ST,BAINBRIDGE ST,FITZWATER ST,33260,340451,B,5, ,700,,74.02,Granite Block
168,,16232,,KATER ST,S ORIANNA ST,S 04TH ST,47080,340278,B,5, ,300,,105,Granite Block
169,,16237,,S ORIANNA ST,BAINBRIDGE ST,SOUTH ST,61600,340279,B,5, ,600,,144.01,Granite Block
170,,16256,,CYPRESS ST,S 04TH ST,LAWRENCE CT,26560,340238,B,5, ,400,,57,Granite Block
171,,16356,,ADDISON ST,S 06TH ST,S 07TH ST,11320,340203,B,5, ,600,,3,Granite Block
172,,16518,,S BODINE ST,CHRISTIAN ST,CARPENTER ST,18120,342059,B,5, ,900,,19,Red Brick
173,,16540,,DELANCEY ST,S FRONT ST,S 02ND ST,27980,340253,TF,5, ,100,,61,Granite Block
174,,16547,,DELANCEY ST,S 02ND ST,S 03RD ST,27980,342300,TF,5, ,200,,62.01,Granite Block
175,,16550,,FULTON ST,S 02ND ST,S 03RD ST,35340,342135,B,5, ,200,,80.02,Granite Block
176,,16551,,FULTON ST,S 02ND ST,S 03RD ST,35340,342220,B,5, ,200,,80.01,Granite Block
177,,16574,,S HANCOCK ST,CATHARINE ST,CHRISTIAN ST,40360,340032,B,5, ,800,,93.03,Granite Block
178,,16577,,S HANCOCK ST,CATHARINE ST,CHRISTIAN ST,40360,340033,B,5, ,800,,93.02,Granite Block
179,,16578,,DELANCEY ST,S 02ND ST,S 03RD ST,27980,342301,TF,5, ,200,,62.03,Granite Block
180,,16579,,DELANCEY ST,S 02ND ST,S 03RD ST,27980,342302,TF,5, ,200,,62.02,Granite Block
181,,16580,,S 02ND ST,SPRUCE ST,PINE ST,87840,340251,FT,3,FAM,300,,213.01,Granite Block
182,,16591,,S HANCOCK ST,CATHARINE ST,CHRISTIAN ST,40360,340035,B,5, ,800,,93.01,Granite Block
183,,16611,,ALTER ST,S FRONT ST,WASHINGTON AVE,12360,342167,B,5, ,100,,6,Blue Glazed Brick
184,,16778,,WOLF ST,WECCACOE AVE,VANDALIA ST,84260,342228,B,4, ,0,,323,Granite Block
185,,16798,,S ORIANNA ST,BAINBRIDGE ST,SOUTH ST,61600,340277,B,5, ,600,,144.02,Granite Block
186,,16811,,S AMERICAN ST,BAINBRIDGE ST,CATHARINE ST,12460,342219,B,12,PRIVATE,700,,9,Granite Block
187,,18879,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720523,B,3,STATE,5800,,89.06,Granite Block
188,,18881,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720524,B,3,STATE,5700,,89.05,Granite Block
189,,18882,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720042,B,3,STATE,5600,,89.03,Granite Block
190,,18890,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720525,B,3,STATE,5600,,89.04,Granite Block
191,,19436,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720527,B,3,STATE,5400,,89.01,Granite Block
192,,19437,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720526,B,3,STATE,5500,,89.02,Granite Block
193,,19438,,GERMANTOWN AVE,E BRINGHURST ST,CHURCH LN,36660,720528,B,3,STATE,5400,,88.05,Granite Block
194,,19499,,N CARLISLE ST,LINDLEY AVE,W SOMERVILLE AVE,21400,721123,TF,5, ,5100,,33.01,Red Brick
195,,19507,,N CARLISLE ST,LINDLEY AVE,W SOMERVILLE AVE,21400,721634,FT,5, ,5200,,33.02,Red Brick
196,,20015,,TRENTON AVE,FRANKFORD AVE,E LEHIGH AVE,77800,542072,B,4, ,2500,,198.06,Granite Block
197,,20017,,TRENTON AVE,FRANKFORD AVE,E LEHIGH AVE,77800,541982,B,4, ,2600,,198.08,Granite Block
198,,20018,,TRENTON AVE,FRANKFORD AVE,E LEHIGH AVE,77800,541946,B,4, ,2600,,198.09,Granite Block
199,,20019,,TRENTON AVE,FRANKFORD AVE,E LEHIGH AVE,77800,541903,B,4, ,2600,,198.1,Granite Block
200,,20021,,TRENTON AVE,FRANKFORD AVE,E LEHIGH AVE,77800,542115,B,4, ,2500,,198.05,Granite Block
201,,20022,,TRENTON AVE,FRANKFORD AVE,E LEHIGH AVE,77800,542175,B,4, ,2500,,198.04,Granite Block
202,,20027,,TRENTON AVE,FRANKFORD AVE,E LEHIGH AVE,77800,542216,B,4, ,2400,,198.03,Granite Block
203,,20028,,TRENTON AVE,FRANKFORD AVE,E LEHIGH AVE,77800,542258,B,4, ,2400,,198.02,Granite Block
204,,20031,,TRENTON AVE,FRANKFORD AVE,E LEHIGH AVE,77800,542322,B,4, ,2400,,198.01,Granite Block
205,,20039,,TRENTON AVE,E NORRIS ST,FRANKFORD AVE,77800,542378,B,4, ,2300,,197.07,Granite Block
206,,20040,,TRENTON AVE,E NORRIS ST,FRANKFORD AVE,77800,542400,B,4, ,2300,,197.06,Granite Block
207,,20041,,TRENTON AVE,E NORRIS ST,FRANKFORD AVE,77800,542473,B,4, ,2200,,197.05,Granite Block
208,,20049,,TRENTON AVE,E NORRIS ST,FRANKFORD AVE,77800,542570,B,4, ,2000,,197.02,Granite Block
209,,20052,,TRENTON AVE,E NORRIS ST,FRANKFORD AVE,77800,542614,B,4, ,2000,,197.01,Granite Block
210,,20382,,TRENTON AVE,FRANKFORD AVE,E LEHIGH AVE,77800,542027,B,4, ,2500,,198.07,Granite Block
211,,20665,,E SELTZER ST,ALMOND ST,EDGEMONT ST,71680,542527,B,5, ,2600,,178.02,Red Brick
212,,20667,,E SELTZER ST,ALMOND ST,EDGEMONT ST,71680,542598,B,5, ,2600,,178.03,Red Brick
213,,20677,,E SELTZER ST,ALMOND ST,EDGEMONT ST,71680,542412,B,5, ,2500,,178.01,Granite Block
214,,20889,,E WILDEY ST,FRANKFORD AVE,SHACKAMAXON ST,83200,441625,FT,5, ,100,,322.02,Granite Block
215,,20996,,E WILDEY ST,FRANKFORD AVE,SHACKAMAXON ST,83200,441624,FT,5, ,100,,322.01,Granite Block
216,,21008,,NEW MARKET ST,LAUREL ST,GERMANTOWN AVE,59520,440253,B,5, ,1000,,138.02,Granite Block
217,,21015,,N FRONT ST,ELLEN ST,GREEN ST,35200,441385,B,4,FAM,900,,79.05,Granite Block
218,,21018,,CANAL ST,POPLAR ST,LAUREL ST,21140,441312,B,5, ,900,,31,Granite Block
219,,21020,,ELLEN ST,N PENN ST,N DELAWARE AVE,31240,441028,B,5, ,0,,308,Granite Block
220,,21024,,N FRONT ST,ELLEN ST,GREEN ST,35200,440683,B,4,FAM,800,,79.04,Granite Block
221,,21031,,NOBLE ST,N FRONT ST,N CHRIS COLUMBUS BLV,59940,441570,B,5, ,0,,139,Granite Block
222,,21034,,N WATER ST,N FRONT ST,VINE ST,81680,441201,TF,5, ,400,,203,Granite Block
223,,21036,,N FRONT ST,VINE ST,SPRING GARDEN ST,35200,440703,B,5,FAM,400,,78.03,Granite Block
224,,21039,,N FRONT ST,VINE ST,SPRING GARDEN ST,35200,440704,B,5,FAM,400,,78.02,Granite Block
225,,21044,,N WATER ST,N FRONT ST,VINE ST,81680,441406,FT,5, ,300,,202,Granite Block
226,,21072,,NEW MARKET ST,LAUREL ST,GERMANTOWN AVE,59520,440264,B,5, ,1000,,138.01,Granite Block
227,,21091,,N BODINE ST,N AMERICAN ST,W WI LDEY ST,18100,440255,FT,5, ,900,,17,Granite Block
