OBJECTID_12,OBJECTID_1,OBJECTID,GIS_STREET,ON_STREET,FROM_STREE,TO_STREET,ST_CODE,SEG_ID,ONEWAY,CLASS,RESPONSIBL,L_HUNDRED,R_HUNDRED,BLOCKNUMBE,PRIMARYROA
1,,220,,N BOUVIER ST,NORTH ST,FAIRMOUNT AVE,18500,420370,B,5, ,600,,302.01,Granite Block
2,,221,,N BOUVIER ST,NORTH ST,FAIRMOUNT AVE,18500,420345,B,5, ,600,,302.02,Cobblestone
3,,354,,CAMERON ST,FRANCIS ST,WYLIE ST,21100,421507,B,5, ,800,,304,Red Brick
4,,394,,CARLTON ST,N 18TH ST,N 19TH ST,21440,420714,FT,5, ,1800,,35,Granite Block
5,,477,,WALDEN ST,N 21ST ST,N 22ND ST,81000,421413,B,5, ,2100,,199,Granite Block
6,,497,,N CROSKEY ST,ARCH ST,CHERRY ST,26080,421404,FT,5, ,100,,53,Granite Block
7,,741,,CHANCELLOR ST,S BONSALL ST,S 24TH ST,22300,421253,B,5, ,2300,,41,Red Brick
8,,743,,S BONSALL ST,CHANCELLOR ST,LOCUST ST,18280,421254,B,5, ,200,,22,Red Brick
9,,770,,N HICKS ST,RACE ST,SPRING ST,42400,422322,B,5, ,200,,98,Granite Block
10,,866,,ARMORY ST,S 23RD ST,S 24TH ST,13260,421292,B,5, ,2300,,11,Granite Block
11,,878,,LELAND ST,POPLAR ST,VINEYARD ST,50140,421573,B,5, ,800,,113.02,Granite Block
12,,918,,W FLORA ST,N 27TH ST,N 28TH ST,34500,421647,B,5, ,2700,,310.03,Granite Block
13,,919,,N ETTING ST,W FLORA ST,W STILES ST,32320,421645,B,5, ,1200,,309,Red Brick
14,,921,,W FLORA ST,N 27TH ST,N 28TH ST,34500,421646,B,5, ,2700,,310.02,Granite Block
15,,924,,W FLORA ST,N 27TH ST,N 28TH ST,34500,421644,B,5, ,2700,,310.01,Granite Block
16,,1299,,CHERRY ST,N 23RD ST,DEAD END WEST,22740,422197,B,5, ,2300,,43,Granite Block
17,,1301,,LATIMER ST,S 21ST ST,DEAD END,49280,422968,B,5, ,2000,,106,Granite Block
18,,1309,,CARLTON ST,N 15TH ST,DEAD END EAST,21440,422005,B,5, ,1400,,34,Red Brick
19,,1353,,CUTHBERT ST,N 22ND ST,N 23RD ST,26520,422911,B,5, ,2200,,56,Granite Block
20,,1362,,ST JAMES ST,S 22ND ST,DEAD END EAST,74100,422970,B,12,PRIVATE,2100,,174,Blue Stone Slab
21,,1363,,CHANCELLOR ST,S 21ST ST,S 22ND ST,22300,422972,B,5, ,2100,,40.01,Granite Block
22,,1423,,WAVERLY ST,S CARLISLE ST,S 15TH ST,81860,320677,B,5, ,1400,,205,Blue Glazed Brick
23,,1432,,DELANCEY ST,S 16TH ST,DEAD END,27980,323004,B,5, ,1500,,64,Blue Glazed Brick
24,,1437,,S CHADWICK ST,CYPRESS ST,PINE ST,22180,320710,B,5, ,300,,37,Granite Block
25,,1561,,PANAMA ST,S 24TH ST,S 25TH ST,62880,320804,FT,5, ,2400,,149,Granite Block
26,,1562,,PANAMA ST,S 25TH ST,S 26TH ST,62880,320806,FT,5, ,2500,,150,Granite Block
27,,2051,,S WOODSTOCK ST,WHARTON ST,REED ST,84600,322214,TF,5, ,1300,,324,Granite Block
28,,4584,,MONTGOMERY AVE,N 29TH ST,W SEDGLEY AVE,56760,521069,B,4, ,3000,,131.01,Red Brick
29,,5308,,N 18TH ST,W GLENWOOD AVE,W LEHIGH AVE,88130,520839,B,4, ,2600,,301,Granite Block
30,,6382,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641501,B,3,STATE,800,,70.02,Red Brick
31,,6383,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641495,B,3,STATE,1000,,70.05,Red Brick
32,,6384,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641489,B,3,STATE,1100,,70.06,Red Brick
33,,6385,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641485,B,3,STATE,1100,,70.07,Red Brick
34,,6386,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641483,B,3,STATE,1100,,70.08,Red Brick
35,,6394,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641497,B,3,STATE,1000,,70.04,Red Brick
36,,6395,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641499,B,3,STATE,1000,,70.03,Red Brick
37,,6602,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641481,B,3,STATE,1200,,70.09,Red Brick
38,,6605,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641461,B,3,STATE,1400,,70.13,Red Brick
39,,6610,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641477,B,3,STATE,1300,,70.1,Red Brick
40,,6611,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641472,B,3,STATE,1300,,70.11,Red Brick
41,,6612,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641466,B,3,STATE,1300,,70.12,Red Brick
42,,6888,,HAWORTH ST,COTTAGE ST,DITMAN ST,41260,660477,B,5, ,1900,,94,Red Brick
43,,7066,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641455,B,3,STATE,1500,,70.14,Red Brick
44,,7068,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641449,B,3,STATE,1600,,70.15,Red Brick
45,,7437,,FARINA ST,PENN ST,GRISCOM ST,33480,660957,TF,5,PRIVATE,1500,,75,Granite Block
46,,7465,,GILLINGHAM ST,N PENN ST,GRISCOM ST,36940,660390,B,5, ,1500,,311,Red Brick
47,,7768,,BRIDGE ST,GARDEN ST,CITY BOUNDARY,18800,660060,B,5, ,2900,,303,Granite Block
48,,8073,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720532,B,3,STATE,0,,89.1,Granite Block
49,,8074,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720530,B,3,STATE,6000,,89.11,Granite Block
50,,8075,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720476,B,3,STATE,6100,,89.13,Granite Block
51,,8076,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720485,B,3,STATE,6100,,89.12,Granite Block
52,,8078,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720470,B,3,STATE,6100,,89.14,Granite Block
53,,8080,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720521,B,3,STATE,5800,,89.07,Granite Block
54,,8200,,BURBRIDGE ST,W WASHINGTON LA,W DUVAL ST,19800,720488,FT,5, ,6300,,27,Red Brick
55,,8201,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720467,B,3,STATE,6100,,89.15,Granite Block
56,,8203,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720463,B,3,STATE,6200,,89.16,Granite Block
57,,8223,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720458,B,3,STATE,6300,,89.18,Granite Block
58,,8226,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720457,B,3,STATE,6300,,89.19,Granite Block
59,,8230,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720459,B,3,STATE,6300,,89.17,Granite Block
60,,8232,,GERMANTOWN AVE,CHURCH LN,ALLENS LANE,36660,720385,B,3,STATE,6400,,89.2,Granite Block
