OBJECTID_12,OBJECTID_1,OBJECTID,GIS_STREET,ON_STREET,FROM_STREE,TO_STREET,ST_CODE,SEG_ID,ONEWAY,CLASS,RESPONSIBL,L_HUNDRED,R_HUNDRED,BLOCKNUMBE,PRIMARYROA,Shape__Length
1,,1293,,CHERRY ST,N 23RD ST,DEAD END WEST,22740,422197,B,5,CITY,2300,,43,Granite Block,315.922094215338
2,,1295,,LATIMER ST,S 21ST ST,DEAD END,49280,422968,B,5,CITY,2000,,106,Granite Block,403.70132822223
3,,1303,,CARLTON ST,N 15TH ST,DEAD END EAST,21440,422005,B,5,CITY,1400,,34,Red Brick,215.926689242892
4,,1347,,CUTHBERT ST,N 22ND ST,N 23RD ST,26520,422911,B,5,CITY,2200,,56,Granite Block,329.964668711315
5,,1356,,ST JAMES ST,S 22ND ST,DEAD END EAST,74100,422970,B,12,PRIVATE,2100,,174,Blue Stone Slab,217.391852877224
6,,1357,,CHANCELLOR ST,S 21ST ST,S 22ND ST,22300,422972,B,5,CITY,2100,,40.01,Granite Block,165.871022816486
7,,1417,,WAVERLY ST,S CARLISLE ST,S 15TH ST,81860,320677,B,5,CITY,1400,,205,Blue Glazed Brick,198.765447287506
8,,1426,,DELANCEY ST,S 16TH ST,DEAD END,27980,323004,B,5,CITY,1500,,64,Blue Glazed Brick,188.404769791113
9,,1431,,S CHADWICK ST,CYPRESS ST,PINE ST,22180,320710,B,5,CITY,300,,37,Granite Block,357.589816886496
10,,1555,,PANAMA ST,S 24TH ST,S 25TH ST,62880,320804,FT,5,CITY,2400,,149,Granite Block,315.564420251544
11,,1556,,PANAMA ST,S 25TH ST,S 26TH ST,62880,320806,FT,5,CITY,2500,,150,Granite Block,327.189026632548
12,,2045,,S WOODSTOCK ST,WHARTON ST,REED ST,84600,322214,TF,5,CITY,1300,,324,Granite Block,448.679441998302
13,,4572,,MONTGOMERY AVE,N 29TH ST,W SEDGLEY AVE,56760,521069,B,4,CITY,3000,,131.01,Red Brick,178.608500082384
14,,5299,,N 18TH ST,W GLENWOOD AVE,W LEHIGH AVE,88130,520839,B,4,CITY,2600,,301,Granite Block,223.946212568125
15,,6371,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641501,B,3,STATE,800,,70.02,Red Brick,1168.09681215679
16,,6372,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641495,B,3,STATE,1000,,70.05,Red Brick,192.428534329313
17,,6373,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641489,B,3,STATE,1100,,70.06,Red Brick,193.695316071656
18,,6374,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641485,B,3,STATE,1100,,70.07,Red Brick,178.082122113213
19,,6375,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641483,B,3,STATE,1100,,70.08,Red Brick,193.245168721746
20,,6383,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641497,B,3,STATE,1000,,70.04,Red Brick,165.739854402697
21,,6384,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641499,B,3,STATE,1000,,70.03,Red Brick,208.43201062613
22,,6591,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641481,B,3,STATE,1200,,70.09,Red Brick,579.551003074998
23,,6594,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641461,B,3,STATE,1400,,70.13,Red Brick,565.087246598291
24,,6599,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641477,B,3,STATE,1300,,70.1,Red Brick,221.115715251183
25,,6600,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641472,B,3,STATE,1300,,70.11,Red Brick,184.344652014114
26,,6601,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641466,B,3,STATE,1300,,70.12,Red Brick,213.387191003604
