Sub1	Scg2	Aldoa
29	0	62
11	1	33
14	1	20
19	4	51
17	3	27
34	13	31
15	2	32
29	0	25
10	2	17
14	7	4
8	3	13
33	2	54
39	11	40
31	1	15
14	1	38
24	16	38
28	2	49
7	8	4
11	2	9
35	16	47
14	0	16
32	2	33
40	14	31
41	6	19
15	2	46
46	8	27
29	11	20
23	2	21
52	4	82
39	5	32
32	3	24
25	30	58
38	0	45
37	1	31
29	12	45
36	32	39
26	4	17
24	7	21
23	8	30
38	6	47
