Number	Name	Status	Country	Checkpoint	Latitude	Longitude	Distance	Time	Speed	Arrival.Dogs	Elapsed.Time	Departure.Dogs	Departure	Arrival
30	Ellen Halverson	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:56:00	NA
31	Cindy Abbott	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:58:00	NA
32	Hans Gatt	Veteran	Canada	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:00:00	NA
33	Mats Pettersson	Veteran	Sweden	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:02:00	NA
34	Jeff King	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:04:00	NA
35	Alan Eischens	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:06:00	NA
36	Allen Moore	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:08:00	NA
37	Jessie Royer	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:10:00	NA
38	Joar Leifseth Ulsom	Veteran	Norway	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:12:00	NA
39	Ralph Johannessen	Veteran	Norway	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:14:00	NA
40	Thomas Rosenbloom	Rookie	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:16:00	NA
41	Aliy Zirkle	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:18:00	NA
42	Zoya DeNure	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:20:00	NA
43	Jimmy Lebling	Rookie	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:22:00	NA
44	Ramey Smyth	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:24:00	NA
45	Lars Monsen	Veteran	Norway	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:26:00	NA
46	Charley Bejna	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:28:00	NA
47	Paul Hansen	Rookie	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:30:00	NA
48	Justin High	Rookie	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:32:00	NA
49	Justin Stielstra	Rookie	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:34:00	NA
50	Hugh Neff	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	15	2017-03-06 12:36:00	NA
51	Seth Barnes	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:38:00	NA
52	Katherine Keith	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:40:00	NA
53	Peter Reuter	Rookie	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:42:00	NA
54	Geir Idar Hjelvik	Veteran	Norway	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:44:00	NA
55	Matthew Failor	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:46:00	NA
56	Melissa Stewart	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:48:00	NA
57	Paul Gebhardt	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:50:00	NA
58	Monica Zappa	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:52:00	NA
59	Ken Anderson	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:54:00	NA
60	Dave Branholm	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:56:00	NA
61	Michael Baker	Rookie	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 12:58:00	NA
62	Nathan Schroeder	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 13:00:00	NA
63	Noah Burmeister	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 13:02:00	NA
64	Jason Mackey	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 13:04:00	NA
65	John Baker	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 13:06:00	NA
66	Anna Berington	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 13:08:00	NA
67	Trent Herbst	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 13:10:00	NA
68	Mark May	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 13:12:00	NA
69	Scott Smith	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 13:14:00	NA
70	Robert Redington	Rookie	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 13:16:00	NA
71	Larry Daugherty	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 13:18:00	NA
72	Dave Delcourt	Rookie	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 13:20:00	NA
73	Kristy Berington	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 13:22:00	NA
6	Linwood Fiedler	Veteran	United States	Nenana	64.5952	-149.0897	60	5.05	11.88	16	3.93	16	2017-03-06 20:07:00	2017-03-06 16:11:00
5	Cody Strathe	Veteran	United States	Nenana	64.5952	-149.0897	60	5.22	11.5	16	0.12	16	2017-03-06 16:26:00	2017-03-06 16:19:00
4	Misha Wiljes	Rookie	Czech Republic	Nenana	64.5952	-149.0897	60	5.25	11.43	15	5.93	15	2017-03-06 22:15:00	2017-03-06 16:19:00
9	Michelle Phillips	Veteran	Canada	Nenana	64.5952	-149.0897	60	5.18	11.58	16	3.48	16	2017-03-06 19:54:00	2017-03-06 16:25:00
15	Martin Buser	Veteran	United States	Nenana	64.5952	-149.0897	60	5.02	11.96	16	0.23	16	2017-03-06 16:41:00	2017-03-06 16:27:00
8	Ryan Anderson	Rookie	United States	Nenana	64.5952	-149.0897	60	5.48	10.94	16	4.87	16	2017-03-06 21:33:00	2017-03-06 16:41:00
14	Ray Redington Jr.	Veteran	United States	Nenana	64.5952	-149.0897	60	5.33	11.25	16	3.15	16	2017-03-06 19:53:00	2017-03-06 16:44:00
11	Ketil Reitan	Veteran	United States	Nenana	64.5952	-149.0897	60	5.65	10.62	16	2.22	16	2017-03-06 19:10:00	2017-03-06 16:57:00
7	Laura Neese	Rookie	United States	Nenana	64.5952	-149.0897	60	5.83	10.29	16	5.1	16	2017-03-06 22:06:00	2017-03-06 17:00:00
28	Jodi Bailey	Veteran	United States	Nenana	64.5952	-149.0897	60	5.18	11.58	16	5.32	16	2017-03-06 22:22:00	2017-03-06 17:03:00
13	Sebastien Vergnaud	Rookie	France	Nenana	64.5952	-149.0897	60	5.72	10.5	12	2.85	12	2017-03-06 19:56:00	2017-03-06 17:05:00
24	Nicolas Petit	Veteran	United States	Nenana	64.5952	-149.0897	60	5.4	11.11	16	0.57	16	2017-03-06 17:42:00	2017-03-06 17:08:00
16	Mitch Seavey	Veteran	United States	Nenana	64.5952	-149.0897	60	5.68	10.56	16	0.27	16	2017-03-06 17:25:00	2017-03-06 17:09:00
2	Ryan Redington	Veteran	United States	Nenana	64.5952	-149.0897	60	6.17	9.73	16	2.98	16	2017-03-06 20:09:00	2017-03-06 17:10:00
21	Richie Diehl	Veteran	United States	Nenana	64.5952	-149.0897	60	5.57	10.78	16	3.13	16	2017-03-06 20:20:00	2017-03-06 17:12:00
32	Hans Gatt	Veteran	Canada	Nenana	64.5952	-149.0897	60	5.23	11.46	16	3.32	16	2017-03-06 20:33:00	2017-03-06 17:14:00
26	Nicolas Vanier	Rookie	France	Nenana	64.5952	-149.0897	60	5.5	10.91	16	4.65	16	2017-03-06 21:57:00	2017-03-06 17:18:00
34	Jeff King	Veteran	United States	Nenana	64.5952	-149.0897	60	5.27	11.39	16	2.07	16	2017-03-06 19:24:00	2017-03-06 17:20:00
22	DeeDee Jonrowe	Veteran	United States	Nenana	64.5952	-149.0897	60	5.75	10.43	16	6.52	16	2017-03-06 23:56:00	2017-03-06 17:25:00
19	Gunnar Johnson	Veteran	United States	Nenana	64.5952	-149.0897	60	5.92	10.14	16	5.07	16	2017-03-06 22:33:00	2017-03-06 17:29:00
38	Joar Leifseth Ulsom	Veteran	Norway	Nenana	64.5952	-149.0897	60	5.3	11.32	16	2.98	16	2017-03-06 20:29:00	2017-03-06 17:30:00
37	Jessie Royer	Veteran	United States	Nenana	64.5952	-149.0897	60	5.35	11.21	16	0.13	16	2017-03-06 17:39:00	2017-03-06 17:31:00
33	Mats Pettersson	Veteran	Sweden	Nenana	64.5952	-149.0897	60	5.5	10.91	16	0.27	16	2017-03-06 17:48:00	2017-03-06 17:32:00
23	Mark Selland	Veteran	United States	Nenana	64.5952	-149.0897	60	5.87	10.23	16	5.48	16	2017-03-06 23:03:00	2017-03-06 17:34:00
39	Ralph Johannessen	Veteran	Norway	Nenana	64.5952	-149.0897	60	5.35	11.21	16	3.55	16	2017-03-06 21:08:00	2017-03-06 17:35:00
41	Aliy Zirkle	Veteran	United States	Nenana	64.5952	-149.0897	60	5.3	11.32	16	2.75	16	2017-03-06 20:21:00	2017-03-06 17:36:00
18	Dallas Seavey	Veteran	United States	Nenana	64.5952	-149.0897	60	6.08	9.86	16	0.22	16	2017-03-06 17:50:00	2017-03-06 17:37:00
20	Karin Hendrickson	Veteran	United States	Nenana	64.5952	-149.0897	60	6.03	9.94	16	5.23	16	2017-03-06 22:52:00	2017-03-06 17:38:00
31	Cindy Abbott	Veteran	United States	Nenana	64.5952	-149.0897	60	5.72	10.5	16	7.32	16	2017-03-07 01:00:00	2017-03-06 17:41:00
36	Allen Moore	Veteran	United States	Nenana	64.5952	-149.0897	60	5.63	10.65	16	5.05	16	2017-03-06 22:49:00	2017-03-06 17:46:00
10	Roger Lee	Rookie	England	Nenana	64.5952	-149.0897	60	6.52	9.21	16	0.32	16	2017-03-06 18:06:00	2017-03-06 17:47:00
29	Wade Marrs	Veteran	United States	Nenana	64.5952	-149.0897	60	6.03	9.94	16	2.43	16	2017-03-06 20:22:00	2017-03-06 17:56:00
40	Thomas Rosenbloom	Rookie	United States	Nenana	64.5952	-149.0897	60	5.73	10.47	16	5.98	16	2017-03-06 23:59:00	2017-03-06 18:00:00
12	Joe Carson	Rookie	United States	Nenana	64.5952	-149.0897	60	6.68	8.98	16	6.3	16	NA	2017-03-06 18:01:00
45	Lars Monsen	Veteran	Norway	Nenana	64.5952	-149.0897	60	5.65	10.62	16	3.45	16	2017-03-06 21:32:00	2017-03-06 18:05:00
46	Charley Bejna	Veteran	United States	Nenana	64.5952	-149.0897	60	5.65	10.62	16	6.25	16	NA	2017-03-06 18:07:00
57	Paul Gebhardt	Veteran	United States	Nenana	64.5952	-149.0897	60	5.32	11.29	16	0.12	16	2017-03-06 18:16:00	2017-03-06 18:09:00
42	Zoya DeNure	Veteran	United States	Nenana	64.5952	-149.0897	60	5.87	10.23	16	6.37	16	NA	2017-03-06 18:12:00
47	Paul Hansen	Rookie	United States	Nenana	64.5952	-149.0897	60	5.75	10.43	16	4.95	16	2017-03-06 23:12:00	2017-03-06 18:15:00
50	Hugh Neff	Veteran	United States	Nenana	64.5952	-149.0897	60	5.67	10.59	15	3.53	15	2017-03-06 21:48:00	2017-03-06 18:16:00
48	Justin High	Rookie	United States	Nenana	64.5952	-149.0897	60	5.8	10.34	16	5.42	16	2017-03-06 23:45:00	2017-03-06 18:20:00
52	Katherine Keith	Veteran	United States	Nenana	64.5952	-149.0897	60	5.68	10.56	16	3.78	16	2017-03-06 22:08:00	2017-03-06 18:21:00
49	Justin Stielstra	Rookie	United States	Nenana	64.5952	-149.0897	60	5.95	10.08	16	6.62	16	2017-03-07 01:08:00	2017-03-06 18:31:00
62	Nathan Schroeder	Veteran	United States	Nenana	64.5952	-149.0897	60	5.53	10.84	16	4.47	16	2017-03-06 23:00:00	2017-03-06 18:32:00
60	Dave Branholm	Veteran	United States	Nenana	64.5952	-149.0897	60	5.63	10.65	16	4.73	16	2017-03-06 23:18:00	2017-03-06 18:34:00
53	Peter Reuter	Rookie	United States	Nenana	64.5952	-149.0897	60	5.87	10.23	16	6.6	16	2017-03-07 01:10:00	2017-03-06 18:34:00
58	Monica Zappa	Veteran	United States	Nenana	64.5952	-149.0897	60	5.72	10.5	16	5.88	16	NA	2017-03-06 18:35:00
64	Jason Mackey	Veteran	United States	Nenana	64.5952	-149.0897	60	5.53	10.84	16	0.15	16	2017-03-06 18:45:00	2017-03-06 18:36:00
63	Noah Burmeister	Veteran	United States	Nenana	64.5952	-149.0897	60	5.62	10.68	16	0.08	16	2017-03-06 18:44:00	2017-03-06 18:39:00
69	Scott Smith	Veteran	United States	Nenana	64.5952	-149.0897	60	5.48	10.94	16	0.17	16	2017-03-06 18:53:00	2017-03-06 18:43:00
67	Trent Herbst	Veteran	United States	Nenana	64.5952	-149.0897	60	5.7	10.53	16	5.47	16	NA	2017-03-06 18:52:00
17	Kristin Bacon	Veteran	United States	Nenana	64.5952	-149.0897	60	7.37	8.14	16	6.55	15	2017-03-07 01:25:00	2017-03-06 18:52:00
70	Robert Redington	Rookie	United States	Nenana	64.5952	-149.0897	60	5.75	10.43	16	4.63	16	2017-03-06 23:39:00	2017-03-06 19:01:00
68	Mark May	Veteran	United States	Nenana	64.5952	-149.0897	60	5.93	10.11	16	7.92	16	2017-03-07 03:03:00	2017-03-06 19:08:00
35	Alan Eischens	Veteran	United States	Nenana	64.5952	-149.0897	60	7.13	8.41	16	6.03	16	2017-03-07 01:16:00	2017-03-06 19:14:00
71	Larry Daugherty	Veteran	United States	Nenana	64.5952	-149.0897	60	5.97	10.06	16	6.87	15	2017-03-07 02:08:00	2017-03-06 19:16:00
65	John Baker	Veteran	United States	Nenana	64.5952	-149.0897	60	6.18	9.7	16	0.12	16	2017-03-06 19:24:00	2017-03-06 19:17:00
44	Ramey Smyth	Veteran	United States	Nenana	64.5952	-149.0897	60	6.88	8.72	16	4.82	16	NA	2017-03-06 19:17:00
59	Ken Anderson	Veteran	United States	Nenana	64.5952	-149.0897	60	6.48	9.25	16	3.6	16	2017-03-06 22:59:00	2017-03-06 19:23:00
25	Peter Kaiser	Veteran	United States	Nenana	64.5952	-149.0897	60	7.73	7.76	16	0.1	16	2017-03-06 19:36:00	2017-03-06 19:30:00
72	Dave Delcourt	Rookie	United States	Nenana	64.5952	-149.0897	60	6.55	9.16	16	6.17	15	2017-03-07 02:03:00	2017-03-06 19:53:00
43	Jimmy Lebling	Rookie	United States	Nenana	64.5952	-149.0897	60	8.25	7.27	16	5.72	16	2017-03-07 02:20:00	2017-03-06 20:37:00
30	Ellen Halverson	Veteran	United States	Nenana	64.5952	-149.0897	60	9.15	6.56	16	6.1	16	2017-03-07 03:11:00	2017-03-06 21:05:00
27	Rick Casillo	Veteran	United States	Nenana	64.5952	-149.0897	60	9.27	6.47	16	0.32	16	2017-03-06 21:25:00	2017-03-06 21:06:00
73	Kristy Berington	Veteran	United States	Nenana	64.5952	-149.0897	60	8.53	7.03	16	0.2	16	2017-03-06 22:06:00	2017-03-06 21:54:00
66	Anna Berington	Veteran	United States	Nenana	64.5952	-149.0897	60	8.77	6.84	16	0.22	16	2017-03-06 22:07:00	2017-03-06 21:54:00
54	Geir Idar Hjelvik	Veteran	Norway	Nenana	64.5952	-149.0897	60	9.77	6.14	16	0.47	16	2017-03-06 22:58:00	2017-03-06 22:30:00
56	Melissa Stewart	Veteran	United States	Nenana	64.5952	-149.0897	60	10.22	5.87	16	0.25	16	2017-03-06 23:16:00	2017-03-06 23:01:00
51	Seth Barnes	Veteran	United States	Nenana	64.5952	-149.0897	60	11.25	5.33	16	0.22	16	NA	2017-03-06 23:53:00
55	Matthew Failor	Veteran	United States	Nenana	64.5952	-149.0897	60	13.15	4.56	16	0.23	16	2017-03-07 02:09:00	2017-03-07 01:55:00
61	Michael Baker	Rookie	United States	Nenana	64.5952	-149.0897	60	13.03	4.6	16	0	16	2017-03-07 02:00:00	2017-03-07 02:00:00
15	Martin Buser	Veteran	United States	Manley	65.0317	-150.6352	90	13.07	6.89	16	5.83	16	2017-03-07 11:35:00	2017-03-07 05:45:00
16	Mitch Seavey	Veteran	United States	Manley	65.0317	-150.6352	90	13.8	6.52	16	4.98	16	2017-03-07 12:12:00	2017-03-07 07:13:00
24	Nicolas Petit	Veteran	United States	Manley	65.0317	-150.6352	90	13.7	6.57	16	4.37	16	2017-03-07 11:46:00	2017-03-07 07:24:00
18	Dallas Seavey	Veteran	United States	Manley	65.0317	-150.6352	90	13.65	6.59	16	4.75	16	2017-03-07 12:14:00	2017-03-07 07:29:00
29	Wade Marrs	Veteran	United States	Manley	65.0317	-150.6352	90	11.6	7.76	16	3.82	16	2017-03-07 11:47:00	2017-03-07 07:58:00
41	Aliy Zirkle	Veteran	United States	Manley	65.0317	-150.6352	90	12.43	7.24	16	0.32	16	2017-03-07 09:06:00	2017-03-07 08:47:00
5	Cody Strathe	Veteran	United States	Manley	65.0317	-150.6352	90	16.52	5.45	16	5.25	16	2017-03-07 14:12:00	2017-03-07 08:57:00
38	Joar Leifseth Ulsom	Veteran	Norway	Manley	65.0317	-150.6352	90	12.52	7.19	16	0.15	16	2017-03-07 09:09:00	2017-03-07 09:00:00
2	Ryan Redington	Veteran	United States	Manley	65.0317	-150.6352	90	12.92	6.97	16	0.62	14	2017-03-07 09:41:00	2017-03-07 09:04:00
14	Ray Redington Jr.	Veteran	United States	Manley	65.0317	-150.6352	90	13.23	6.8	16	0.47	14	2017-03-07 09:35:00	2017-03-07 09:07:00
11	Ketil Reitan	Veteran	United States	Manley	65.0317	-150.6352	90	13.98	6.44	16	2.5	16	2017-03-07 11:39:00	2017-03-07 09:09:00
9	Michelle Phillips	Veteran	Canada	Manley	65.0317	-150.6352	90	13.27	6.78	16	0.33	16	2017-03-07 09:30:00	2017-03-07 09:10:00
64	Jason Mackey	Veteran	United States	Manley	65.0317	-150.6352	90	14.48	6.21	16	3.15	16	2017-03-07 12:23:00	2017-03-07 09:14:00
34	Jeff King	Veteran	United States	Manley	65.0317	-150.6352	90	13.9	6.47	16	2.88	15	2017-03-07 12:11:00	2017-03-07 09:18:00
25	Peter Kaiser	Veteran	United States	Manley	65.0317	-150.6352	90	13.72	6.56	16	0.17	16	2017-03-07 09:29:00	2017-03-07 09:19:00
65	John Baker	Veteran	United States	Manley	65.0317	-150.6352	90	13.97	6.44	16	4.13	16	2017-03-07 13:30:00	2017-03-07 09:22:00
60	Dave Branholm	Veteran	United States	Manley	65.0317	-150.6352	90	10.1	8.91	16	7.77	16	2017-03-07 17:10:00	2017-03-07 09:24:00
21	Richie Diehl	Veteran	United States	Manley	65.0317	-150.6352	90	13.1	6.87	16	0.3	14	2017-03-07 09:44:00	2017-03-07 09:26:00
33	Mats Pettersson	Veteran	Sweden	Manley	65.0317	-150.6352	90	15.72	5.73	16	4.45	15	2017-03-07 13:58:00	2017-03-07 09:31:00
13	Sebastien Vergnaud	Rookie	France	Manley	65.0317	-150.6352	90	13.68	6.58	12	4.43	12	2017-03-07 14:03:00	2017-03-07 09:37:00
69	Scott Smith	Veteran	United States	Manley	65.0317	-150.6352	90	14.95	6.02	16	0.47	15	2017-03-07 10:18:00	2017-03-07 09:50:00
6	Linwood Fiedler	Veteran	United States	Manley	65.0317	-150.6352	90	13.75	6.55	16	5.17	16	2017-03-07 15:02:00	2017-03-07 09:52:00
63	Noah Burmeister	Veteran	United States	Manley	65.0317	-150.6352	90	15.15	5.94	16	0.28	16	2017-03-07 10:10:00	2017-03-07 09:53:00
22	DeeDee Jonrowe	Veteran	United States	Manley	65.0317	-150.6352	90	9.97	9.03	16	7.95	16	2017-03-07 17:51:00	2017-03-07 09:54:00
37	Jessie Royer	Veteran	United States	Manley	65.0317	-150.6352	90	16.38	5.49	16	0.42	16	2017-03-07 10:27:00	2017-03-07 10:02:00
50	Hugh Neff	Veteran	United States	Manley	65.0317	-150.6352	90	12.27	7.34	15	0.4	15	2017-03-07 10:28:00	2017-03-07 10:04:00
45	Lars Monsen	Veteran	Norway	Manley	65.0317	-150.6352	90	12.65	7.11	16	0.35	15	2017-03-07 10:32:00	2017-03-07 10:11:00
39	Ralph Johannessen	Veteran	Norway	Manley	65.0317	-150.6352	90	13.07	6.89	16	4.58	16	2017-03-07 14:47:00	2017-03-07 10:12:00
32	Hans Gatt	Veteran	Canada	Manley	65.0317	-150.6352	90	14.1	6.38	16	4.8	15	2017-03-07 15:27:00	2017-03-07 10:39:00
27	Rick Casillo	Veteran	United States	Manley	65.0317	-150.6352	90	13.7	6.57	16	4.28	16	2017-03-07 15:24:00	2017-03-07 11:07:00
70	Robert Redington	Rookie	United States	Manley	65.0317	-150.6352	90	11.75	7.66	16	5.47	16	2017-03-07 16:52:00	2017-03-07 11:24:00
57	Paul Gebhardt	Veteran	United States	Manley	65.0317	-150.6352	90	17.43	5.16	16	0.45	15	2017-03-07 12:09:00	2017-03-07 11:42:00
52	Katherine Keith	Veteran	United States	Manley	65.0317	-150.6352	90	13.6	6.62	16	0.3	15	2017-03-07 12:02:00	2017-03-07 11:44:00
28	Jodi Bailey	Veteran	United States	Manley	65.0317	-150.6352	90	13.4	6.72	16	0.3	16	2017-03-07 12:04:00	2017-03-07 11:46:00
26	Nicolas Vanier	Rookie	France	Manley	65.0317	-150.6352	90	14.05	6.41	16	5.62	16	2017-03-07 17:37:00	2017-03-07 12:00:00
73	Kristy Berington	Veteran	United States	Manley	65.0317	-150.6352	90	14.1	6.38	16	5	15	2017-03-07 17:12:00	2017-03-07 12:12:00
62	Nathan Schroeder	Veteran	United States	Manley	65.0317	-150.6352	90	13.35	6.74	16	4.23	16	2017-03-07 16:35:00	2017-03-07 12:21:00
66	Anna Berington	Veteran	United States	Manley	65.0317	-150.6352	90	14.27	6.31	16	4.85	13	2017-03-07 17:14:00	2017-03-07 12:23:00
23	Mark Selland	Veteran	United States	Manley	65.0317	-150.6352	90	13.35	6.74	16	6.58	15	2017-03-07 18:59:00	2017-03-07 12:24:00
19	Gunnar Johnson	Veteran	United States	Manley	65.0317	-150.6352	90	14.02	6.42	16	4.17	16	2017-03-07 16:44:00	2017-03-07 12:34:00
8	Ryan Anderson	Rookie	United States	Manley	65.0317	-150.6352	90	15.17	5.93	16	3.85	15	2017-03-07 16:34:00	2017-03-07 12:43:00
36	Allen Moore	Veteran	United States	Manley	65.0317	-150.6352	90	14.5	6.21	16	0.5	16	2017-03-07 13:49:00	2017-03-07 13:19:00
59	Ken Anderson	Veteran	United States	Manley	65.0317	-150.6352	90	14.5	6.21	16	3.68	16	2017-03-07 17:10:00	2017-03-07 13:29:00
7	Laura Neese	Rookie	United States	Manley	65.0317	-150.6352	90	15.5	5.81	16	4.92	15	2017-03-07 18:31:00	2017-03-07 13:36:00
56	Melissa Stewart	Veteran	United States	Manley	65.0317	-150.6352	90	14.35	6.27	16	4.65	15	2017-03-07 18:16:00	2017-03-07 13:37:00
