Number	Name	Status	Country	Checkpoint	Latitude	Longitude	Distance	Time	Speed	Arrival.Dogs	Elapsed.Time	Departure.Dogs	Departure	Arrival
2	Ryan Redington	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:00:00	NA
3	Otto Balogh	Rookie	Hungary	Fairbanks	64.8321	-147.813	NA	0	NA	NA	NA	NA	NA	NA
4	Misha Wiljes	Rookie	Czech Republic	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	15	2017-03-06 11:04:00	NA
5	Cody Strathe	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:06:00	NA
6	Linwood Fiedler	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:08:00	NA
7	Laura Neese	Rookie	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:10:00	NA
8	Ryan Anderson	Rookie	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:12:00	NA
9	Michelle Phillips	Veteran	Canada	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:14:00	NA
10	Roger Lee	Rookie	England	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:16:00	NA
11	Ketil Reitan	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:18:00	NA
12	Joe Carson	Rookie	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:20:00	NA
13	Sebastien Vergnaud	Rookie	France	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	12	2017-03-06 11:22:00	NA
14	Ray Redington Jr.	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:24:00	NA
15	Martin Buser	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:26:00	NA
16	Mitch Seavey	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:28:00	NA
17	Kristin Bacon	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:30:00	NA
18	Dallas Seavey	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:32:00	NA
19	Gunnar Johnson	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:34:00	NA
20	Karin Hendrickson	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:36:00	NA
21	Richie Diehl	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:38:00	NA
22	DeeDee Jonrowe	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:40:00	NA
23	Mark Selland	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:42:00	NA
24	Nicolas Petit	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:44:00	NA
25	Peter Kaiser	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:46:00	NA
26	Nicolas Vanier	Rookie	France	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:48:00	NA
27	Rick Casillo	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:50:00	NA
28	Jodi Bailey	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:52:00	NA
29	Wade Marrs	Veteran	United States	Fairbanks	64.8321	-147.813	NA	0	NA	NA	0	16	2017-03-06 11:54:00	NA
