1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
130240,20600,156760,155720,176480,215680,182480,186880,185680,180480,167720,126000,214600,175520,165320,208280,202680,196560,187360,183920,188720,213640,170440,12680
155000,19200,177000,178400,222120,197760,128320,134120,182440,196880,199080,145840,190880,210640,195640,177720,206280,198360,192560,175280,193320,212560,182600,14360
179360,18240,198560,226440,204080,259320,225680,192960,192800,220640,201360,157040,195320,211960,209400,131560,201000,230440,195560,219080,221920,222840,192640,16360
176440,21200,201760,159680,206680,205440,127800,197440,178640,191640,192360,161440,198440,167840,210560,198360,189600,210400,189920,190800,229520,209160,202160,15760
161200,20120,207120,192640,180840,200520,188400,200520,171240,189040,179680,187960,168040,201840,196240,179600,200480,181440,189520,172000,182240,177280,201120,15960
182440,20640,203360,168040,189240,153480,178760,170920,168960,177240,184000,127520,164040,176520,188280,131680,205480,175720,183480,208240,178080,136480,169040,18920
180240,20160,191520,195920,174080,202200,179480,179880,184280,186600,183560,186040,170320,175760,188840,182960,173800,188760,186360,186120,184800,180720,174960,22520
187200,21920,181840,208200,169200,162160,158600,164720,177760,175040,183160,177880,171120,133200,127800,173240,178480,178600,175520,169560,183240,140120,175960,23920
184720,20640,208720,206880,201960,199400,193960,186440,163160,144080,170560,180320,202120,193480,176400,178800,169840,172320,192760,179240,179760,199640,202440,23520
179720,19960,209640,208480,206760,201400,136760,192440,221800,166200,188320,34600,185240,175760,181520,182520,194320,175320,205720,230400,176040,203000,221400,22360
158120,18200,185120,206440,200200,209440,180240,186200,170120,171640,172000,190640,187320,186480,135560,174320,186520,190000,213320,195920,184160,220720,191040,18680
181320,19800,202920,203160,194760,193920,201400,135240,192920,188200,195840,199200,186360,163400,202880,188680,186720,176560,189760,189000,218240,218560,202280,14840
195040,17080,154320,198960,206000,156720,175280,128800,147960,157160,167400,188600,191280,189440,184880,220760,191720,194240,180360,205480,181160,224760,208360,15880
184000,18400,181640,176720,170760,121960,179760,169960,181480,170040,185360,170440,181160,168760,184480,196920,186400,220600,189320,199760,176120,153680,217360,15480
160360,17160,169720,203000,177560,165080,165280,158160,154400,168680,187000,163600,187520,174120,165280,178400,177120,168840,194640,194520,134400,199040,191600,13680
129160,13360,181240,173960,142720,72160,95200,171240,153600,153400,158040,143920,163840,162600,159520,169640,199400,162000,171840,189080,179840,210360,202000,13120
