1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
126120,21960,180960,188400,250280,193880,183840,181000,270160,165560,177000,158480,199680,205360,199400,179880,213920,177480,208240,224800,193360,273040,199680,14600
142600,25520,170520,194560,211760,187880,191640,163760,193200,197080,194240,185760,215400,206520,191920,203600,194480,224480,195960,250120,228760,235920,206960,16360
145360,25480,191120,214480,112120,224880,172800,208440,208200,213920,157240,196240,226320,213040,223800,236160,217280,210720,45480,261560,251360,259840,228400,17880
140800,24040,182760,210520,190760,184560,225560,201720,236720,216560,204200,183480,242520,210320,223680,217520,230000,203120,261360,232960,233120,242720,216280,16320
153760,21760,198560,233000,219720,218520,259040,207440,306960,202000,197560,178640,188440,207000,214720,203520,181000,192560,225720,191800,217760,230600,206560,17840
157320,20560,198760,194360,202880,202080,205320,199600,194080,198680,206800,201440,183600,195280,193480,163120,182560,162560,198080,179720,206240,222720,214120,20080
157040,16920,46920,219000,192800,218200,198600,209200,200320,207720,191200,195880,242320,204240,191280,175320,176640,188720,38240,201000,222200,234080,218800,19960
162520,17680,201000,230000,202800,199360,180080,184600,204920,207240,202280,190280,207880,131000,187360,196720,214160,193920,208200,229000,228360,224600,223400,20120
178000,18320,222200,228920,148880,221960,243200,228360,188680,229200,158440,219680,176560,210840,201040,201560,193160,222640,165440,206960,219920,233560,201880,17400
201400,21440,239600,235560,200000,242760,217480,231800,223960,208080,199800,192520,207640,216280,227120,197560,214040,219480,247000,215880,208200,223920,233000,17240
184080,23160,243320,217200,112160,230760,230040,205720,223520,207080,229960,205160,203560,208160,163320,222160,192520,221080,223000,224440,186960,205720,193600,19120
184160,19280,220840,213080,214760,222800,229600,205520,196800,198360,228080,187880,212680,197960,231640,226040,171040,217520,249720,223200,233680,235920,219640,16000
173600,19000,192640,213000,188080,230440,224840,198280,214720,237920,184280,200600,49240,205800,186480,203120,221600,232960,212920,237320,227880,213120,202640,15560
198080,19640,198320,217520,241680,190440,182880,227440,210840,179000,207600,175040,213240,205440,219160,201760,228480,193280,217000,200040,225520,210880,198200,15800
183520,16640,35840,189760,216600,208560,184480,225480,37680,208120,216560,189720,179280,195200,184880,219840,182880,196440,212040,201520,213520,218680,182080,15160
150240,15520,205360,185960,196680,190160,175840,198760,162920,174320,169240,160840,188880,180000,188360,172040,204200,194440,177640,33240,195480,202440,215560,14360
