1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
121520,18080,158520,141360,128280,153560,142280,143440,159280,146480,148760,135760,182360,170040,157480,151600,193720,179080,174360,203760,200320,234120,204640,11600
114760,18960,147680,163320,158600,104440,158120,167040,164160,150840,129840,155480,202920,174640,167360,176440,181080,36360,177640,203120,183040,172600,175400,12360
140280,18560,155160,187080,182800,191720,183080,175440,188280,195080,172120,173320,184000,176200,180320,202440,173200,173720,172000,217160,202440,228720,209520,13880
155280,17920,187560,129440,187240,195040,186280,182160,179920,173640,57360,167320,221560,178440,170320,198240,195440,153000,33200,177520,223920,219160,196960,12840
145920,15320,161440,184800,180800,175640,169480,183320,171560,165080,166800,173760,173320,185160,180120,160120,185760,184480,168080,193040,179400,200040,212840,13520
154920,16680,170040,181760,181720,188880,164800,158160,34080,156040,178560,153880,175280,174480,176520,140280,176080,144200,182080,192680,186560,201200,166640,13400
146720,15920,170640,165600,187480,174560,159280,153600,162400,176280,172040,174800,185520,194240,169960,170760,166640,175240,183480,185440,209680,194360,182560,13120
142840,16760,164760,88600,209360,179880,170120,160920,185200,193880,192200,171280,175200,140480,167920,197240,197400,161120,177640,176720,26400,188760,175160,12600
163240,18440,199240,193520,172560,197880,177960,201960,169920,185920,181040,187400,183480,191560,175080,177240,181080,199240,188320,203000,186000,204240,178200,11240
193360,20360,203720,183160,184760,217400,197120,256880,210600,197960,194800,169800,184440,205800,189640,171440,171040,192920,198520,192800,191760,188920,188480,11680
153560,18640,183280,199040,193520,222360,213920,191440,172160,163320,193960,176680,184280,172120,221840,181760,159080,198440,173320,206000,192120,211000,205880,12240
158480,20560,193960,200440,177520,208840,196240,204000,212080,180480,192200,169440,209240,193920,193240,195120,183160,192720,204320,204960,230160,196200,212960,11920
175400,16520,176320,226120,197680,179360,175840,190720,189880,181520,169720,160120,164120,179640,197040,159360,187520,187960,193880,203880,188880,44880,159160,10480
184360,18440,87760,29320,176360,174640,190920,201520,46040,117160,193600,166440,163960,183560,187160,198440,41560,223400,203880,240960,170080,135600,174920,11280
178400,17120,199240,175280,165760,181560,199120,197280,158720,170560,200920,185160,148000,181640,177160,196440,186120,183640,201480,196400,199640,199920,195400,11520
130120,16080,182640,170440,180800,132840,171240,186040,169840,29240,19560,157760,157320,153360,170520,175080,177840,171200,166840,81200,147400,171440,153920,10600
