1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
146680,14360,99000,131280,153360,156160,195760,205520,59320,154160,162760,263120,229800,157600,172960,174440,185760,87920,193520,232840,153000,177880,198840,14400
152520,15160,144440,159840,211080,118960,125640,230080,211600,61280,88360,163880,171680,183360,98120,200000,51600,155880,52280,329840,158000,207640,197400,14440
169920,16120,160280,197600,145640,121280,182280,187600,182280,184000,189160,181760,70440,51400,178280,200880,221840,137800,208040,215440,214520,145040,206160,15200
199240,17600,123240,214520,195560,190400,115280,209800,150480,169400,101920,178200,28640,215360,185440,240040,266360,150840,296560,191680,57200,212240,202920,16120
166120,17960,143320,56080,256080,31120,169280,184880,157280,183960,165320,161080,61320,208280,437960,31120,139280,109760,203880,214760,185720,52800,183440,15160
184160,15640,196120,32840,139320,188440,192120,126200,188240,125080,60960,184920,84760,208320,227480,89000,106120,49000,220360,185040,190480,193400,194080,14320
159640,14760,53120,122240,66240,20320,126760,178440,166640,105960,75960,85920,140720,173160,175760,155400,156840,202520,192320,45640,27960,104280,221480,16640
209000,17800,171320,17920,84760,88000,89920,213960,183240,126000,200000,167720,129360,161280,109480,189960,234880,201320,207320,186320,213160,235960,213320,15640
158720,14240,84120,124360,38000,171400,203960,183960,77000,140640,184240,206920,210160,80960,188200,83880,112120,203760,182080,202920,231400,191880,185240,14760
195800,14800,74920,188280,80320,190600,213680,186560,190520,115720,107080,207640,194200,130120,162640,195000,204720,207520,182880,165280,85520,213600,247280,17120
184680,15680,128560,137400,103080,182720,181840,190080,197080,147320,184560,204400,170280,126480,118120,165640,100840,177400,68200,191400,195000,165520,212440,15960
184160,17960,172280,202880,128920,181600,165720,47120,200880,186840,43920,66880,174320,137080,109200,188520,103800,52920,185720,179400,194760,149520,219880,16920
145560,18960,204480,170160,186680,162280,50720,176800,165800,194160,182120,132960,172840,34360,165640,190280,210640,162600,186600,144120,221560,187200,199520,13360
202920,17440,228440,188920,250360,172160,131680,155040,44800,170640,171560,181240,52160,147520,173680,164280,186880,155640,110320,167000,57200,142720,190080,14360
137120,15240,100880,199560,175160,141840,94000,123880,188680,169360,92360,158200,198040,52800,206080,33800,151440,80640,201240,216880,186800,160840,201360,14120
167440,15800,185200,20200,151080,140240,166000,154760,114480,125200,150200,159800,23120,160680,66800,137360,159400,154160,167160,122680,92440,95680,199920,12520
