1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
167280,15920,154520,210800,154440,193920,181280,184320,167520,146640,164680,177560,215920,174920,204640,172360,175200,212400,198920,199840,237160,204600,188000,12800
152040,16360,184440,195960,143400,193120,176040,142080,187040,199960,213320,164000,207000,178760,249680,205680,212000,194800,225040,206720,213520,213280,173480,13080
192960,18960,165520,182200,186280,221480,189640,204680,207400,227080,164080,180120,220520,224080,205400,219040,202920,204560,198440,203680,231560,242480,223960,15400
156160,19840,196800,61240,163600,212920,200160,209160,175920,197120,130360,199360,215800,190720,212000,169680,192320,203840,224560,206440,220600,215960,183320,15400
183480,21120,208200,194120,206240,195800,178720,187360,184360,159200,191040,160600,193400,170920,210240,182520,162760,226880,185160,218440,215400,199160,190520,14400
167080,19920,173680,185280,176600,171640,172600,187040,169400,168200,182640,184320,141480,173720,183600,180000,173720,178720,188960,200000,179640,208200,182200,13840
174400,20760,211760,195200,193200,181200,166680,180720,166160,181400,182520,192520,183160,183520,186160,181920,203040,192160,209560,190440,192680,212800,189640,13360
173720,18600,188240,230440,153600,166800,198960,182280,172720,163680,175040,168080,167160,182400,140480,163720,182680,197360,165320,172880,182440,205440,183880,14120
161280,20440,189160,205200,187840,194840,184840,189240,180440,182040,184520,180600,171120,179680,161520,165640,181120,169640,170520,203760,191640,191000,199960,14640
171840,19920,207440,198920,208720,173560,190640,221360,148760,202120,193080,177200,188720,187360,167400,191440,192120,186520,185720,195440,190800,210400,205680,15360
173040,19560,233880,222800,180120,173760,207680,185720,163440,172320,183360,182880,172440,175600,189120,181600,188560,174440,180800,188080,209320,204880,185960,14080
178160,21000,211520,148480,179520,181000,196000,161640,179320,171840,187120,184640,165560,185600,162320,188000,180440,201800,197320,166160,184280,204560,190640,14640
172400,18160,162600,198960,211280,165560,179320,176520,172360,185760,176920,176040,170160,193800,170120,201240,170480,161720,187880,187440,181560,216280,200360,13120
166920,21400,224720,176880,196720,128680,189760,176000,160960,184280,184360,169760,179760,176600,193360,186800,176640,192680,169640,178400,174560,145040,201320,13440
177200,18480,167920,156840,151640,168840,160840,171640,156000,180200,173080,180520,159440,163640,172440,170560,172520,189880,159000,158160,185800,191680,200120,12560
163680,17960,154720,177640,148640,171560,154800,149240,125960,155680,149160,148120,153160,160040,162320,142600,155760,165600,180440,181360,166160,184640,179480,11440
