1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
134000,16600,165960,165360,176200,185400,162360,152080,163600,193320,163840,168080,208040,169360,158120,184400,202280,188760,197560,200280,232040,239360,172200,10480
135800,16040,162960,166760,183480,185800,195000,179440,166040,202800,182200,177280,204160,181280,172840,171200,196720,193200,196640,215680,221360,207320,206360,11880
199840,20560,222760,232400,205480,192720,188920,185640,169880,199600,219480,199040,213560,158360,191040,213160,222160,208720,209920,223720,248200,241240,197200,11440
164080,19520,188280,193080,191160,204360,178520,213080,196440,189000,210000,200440,216680,192120,192720,189680,210520,176600,215760,217320,228640,255760,221960,14040
176480,19520,228280,187360,207520,212480,198800,183640,197280,219320,204600,198800,197360,200880,194000,183120,195000,203360,202520,184200,202000,209800,194560,12320
164960,18920,214520,192080,196600,201800,207800,169560,178280,190840,190720,173520,193280,188320,181120,187600,180200,182960,197560,166240,184560,192040,206600,13760
164360,20120,209000,185360,216200,200160,163240,169680,205680,191360,187520,35520,205880,190720,192800,188080,184000,181520,186920,189160,208760,223360,211840,12880
166400,19880,198120,203280,203480,185000,189680,189360,197400,180320,180880,200960,183560,193720,178080,196200,179440,184360,174800,173920,178960,212520,205160,12440
192360,19960,210840,218080,185400,207240,207000,215840,164960,212800,196800,190640,207120,204320,175640,203920,189120,203880,183680,188160,235880,223200,208480,10880
192120,21840,224640,208600,201920,227600,208920,254400,206440,213200,213400,168600,200280,175680,201680,195240,194760,206960,211680,208400,212040,224200,208080,13560
168840,20400,207480,235360,205880,256440,210920,216920,187520,204800,208280,211480,149640,202800,221240,220000,203800,220160,203680,238440,205960,212640,207560,12520
188120,18320,203160,196840,230680,190360,149720,211720,217280,209000,212680,166600,186400,204960,211240,218880,233480,240920,207200,206440,209440,224120,201960,11480
184680,20600,187920,217360,201760,241480,205600,233640,204800,216920,172960,163440,183720,181240,196560,210440,226920,227360,211640,213000,212640,210280,207040,12600
166680,22520,228560,231520,214440,186200,225080,212440,221920,209840,203200,179960,179320,194520,210440,213480,201120,232880,226520,218000,227480,185120,193680,11720
168280,16720,173800,205120,189200,231120,221200,186160,220400,178240,202760,168200,177760,201840,212040,199680,199200,231280,198520,196080,196000,187520,172680,10640
166560,18560,214040,197880,181600,182440,195600,196920,187360,167480,170760,185320,180080,193520,187320,186560,208480,196080,199240,205400,175040,174120,161840,10880
